S.No,Date.Time,Temperature,RH,VPD,Logger,Day,Chamber,Exp
1,4/11/17 14:24,22.5,35,1.778371097,1,1,1,1
2,4/11/17 14:29,22.5,28.5,1.956208206,1,1,1,1
3,4/11/17 14:34,24.5,46.5,1.651342393,1,1,1,1
4,4/11/17 14:39,26.5,42.5,1.998675326,1,1,1,1
5,4/11/17 14:44,27.5,39.5,2.230165329,1,1,1,1
6,4/11/17 14:49,28.5,39.5,2.364041107,1,1,1,1
7,4/11/17 14:54,29,38,2.493905457,1,1,1,1
8,4/11/17 14:59,29,38.5,2.473793316,1,1,1,1
9,4/11/17 15:04,29.5,37,2.608380523,1,1,1,1
10,4/11/17 15:09,29.5,37.5,2.58767909,1,1,1,1
11,4/11/17 15:14,29.5,37.5,2.58767909,1,1,1,1
12,4/11/17 15:19,29.5,36.5,2.629081955,1,1,1,1
13,4/11/17 15:24,30,37,2.684520753,1,1,1,1
14,4/11/17 15:29,30,36.5,2.705826473,1,1,1,1
15,4/11/17 15:34,30,37,2.684520753,1,1,1,1
16,4/11/17 15:39,30,37,2.684520753,1,1,1,1
17,4/11/17 15:44,30,37,2.684520753,1,1,1,1
18,4/11/17 15:49,30,36.5,2.705826473,1,1,1,1
19,4/11/17 15:54,30,37.5,2.663215033,1,1,1,1
20,4/11/17 15:59,30,37,2.684520753,1,1,1,1
21,4/11/17 16:04,30,36,2.727132194,1,1,1,1
22,4/11/17 16:09,30,36.5,2.705826473,1,1,1,1
23,4/11/17 16:14,30,37,2.684520753,1,1,1,1
24,4/11/17 16:19,30,37,2.684520753,1,1,1,1
25,4/11/17 16:24,30,37,2.684520753,1,1,1,1
26,4/11/17 16:29,30,36,2.727132194,1,1,1,1
27,4/11/17 16:34,30,36.5,2.705826473,1,1,1,1
28,4/11/17 16:39,30,37.5,2.663215033,1,1,1,1
29,4/11/17 16:44,30,37.5,2.663215033,1,1,1,1
30,4/11/17 16:49,30,37,2.684520753,1,1,1,1
31,4/11/17 16:54,30,36.5,2.705826473,1,1,1,1
32,4/11/17 16:59,30,37,2.684520753,1,1,1,1
33,4/11/17 17:04,30,37.5,2.663215033,1,1,1,1
34,4/11/17 17:09,30,36.5,2.705826473,1,1,1,1
35,4/11/17 17:14,30,37,2.684520753,1,1,1,1
36,4/11/17 17:19,30,37.5,2.663215033,1,1,1,1
37,4/11/17 17:24,30.5,36.5,2.784516069,1,1,1,1
38,4/11/17 17:29,31,36.5,2.86519206,1,1,1,1
39,4/11/17 17:34,31,35,2.932873763,1,1,1,1
40,4/11/17 17:39,31.5,35,3.017531808,1,1,1,1
41,4/11/17 17:44,31.5,48,2.414025446,1,1,1,1
42,4/11/17 17:49,31.5,35.5,2.994320025,1,1,1,1
43,4/11/17 17:54,31.5,34.5,3.040743591,1,1,1,1
44,4/11/17 17:59,31.5,35,3.017531808,1,1,1,1
45,4/11/17 18:04,31.5,35.5,2.994320025,1,1,1,1
46,4/11/17 18:09,31.5,34.5,3.040743591,1,1,1,1
47,4/11/17 18:14,31.5,34.5,3.040743591,1,1,1,1
48,4/11/17 18:19,31.5,34.5,3.040743591,1,1,1,1
49,4/11/17 18:24,31.5,34.5,3.040743591,1,1,1,1
50,4/11/17 18:29,31.5,35,3.017531808,1,1,1,1
51,4/11/17 18:34,31.5,35,3.017531808,1,1,1,1
52,4/11/17 18:39,31.5,35,3.017531808,1,1,1,1
53,4/11/17 18:44,31.5,35,3.017531808,1,1,1,1
54,4/11/17 18:49,31.5,35.5,2.994320025,1,1,1,1
55,4/11/17 18:54,31.5,35.5,2.994320025,1,1,1,1
56,4/11/17 18:59,31.5,35,3.017531808,1,1,1,1
57,4/11/17 19:04,31.5,35,3.017531808,1,1,1,1
58,4/11/17 19:09,31.5,35.5,2.994320025,1,1,1,1
59,4/11/17 19:14,31.5,36,2.971108241,1,1,1,1
